ConnectionStatus,Connection,Display name,Buying power,Cash value,Excess intraday margin,Excess initial margin,Intraday margin,Initial margin,Net liquidation,Gross realized PnL,Realized PnL,Unrealized PnL,Total PnL
Connected,My Rithmic for NinjaTrader Brokerage,Sim101,0,98267.5,100000,100000,0,0,98267.5,0,0,0,0
Connected,My Rithmic for NinjaTrader Brokerage,APEX-28090-178!Apex!Apex,0,50000,0,0,0,0,50000,0,0,0,0
Connected,My Rithmic for NinjaTrader Brokerage,APEX-28090-177!Apex!Apex,0,50000,0,0,0,0,50000,0,0,0,0
Connected,My Rithmic for NinjaTrader Brokerage,APEX-28090-176!Apex!Apex,0,50000,0,0,0,0,50000,0,0,0,0
Connected,My Rithmic for NinjaTrader Brokerage,APEX-28090-175!Apex!Apex,0,50000,0,0,0,0,50000,0,0,0,0
Connected,My Rithmic for NinjaTrader Brokerage,APEX-28090-174!Apex!Apex,0,50000,0,0,0,0,50000,0,0,0,0
Connected,My Rithmic for NinjaTrader Brokerage,APEX-28090-173!Apex!Apex,0,50000,0,0,0,0,50000,0,0,0,0
Connected,My Rithmic for NinjaTrader Brokerage,APEX-28090-172!Apex!Apex,0,50000,0,0,0,0,50000,0,0,0,0
Connected,My Rithmic for NinjaTrader Brokerage,APEX-28090-171!Apex!Apex,0,50000,0,0,0,0,50000,0,0,0,0
Connected,My Rithmic for NinjaTrader Brokerage,APEX-28090-170!Apex!Apex,0,50000,0,0,0,0,50000,0,0,0,0
Connected,My Rithmic for NinjaTrader Brokerage,APEX-28090-169!Apex!Apex,0,50000,0,0,0,0,50000,0,0,0,0
Connected,My Rithmic for NinjaTrader Brokerage,PA-APEX-28090-48!Apex!Apex,0,153435.42,0,0,0,0,153435.42,0,0,0,0
sample,sample,PA-APEX-28090-2!Apex!Apex,sample,sample,sample,sample,sample,sample,sample,sample,sample,sample,sample
sample,sample,PA-APEX-28090-45!Apex!Apex,sample,sample,sample,sample,sample,sample,sample,sample,sample,sample,sample
sample,sample,PA-APEX-28090-101!Apex!Apex,sample,sample,sample,sample,sample,sample,sample,sample,sample,sample,sample
